path,label,prob_fake,hard_type,hard_weight,source
data_image_train\Fake\Celeb-synthesis_id60_id5_0000.mp4_f0.jpg,1,0.2593615651130676,hard_fake_false_negative_risk,2.5,Celeb-DF
data_image_train\Fake\Celeb-synthesis_id25_id28_0000.mp4_f0.jpg,1,0.3799045979976654,hard_fake_false_negative_risk,2.5,Celeb-DF
data_image_train\Fake\Celeb-synthesis_id25_id26_0000.mp4_f0.jpg,1,0.3799045979976654,hard_fake_false_negative_risk,2.5,Celeb-DF
data_image_train\Fake\Celeb-synthesis_id25_id23_0000.mp4_f0.jpg,1,0.3799045979976654,hard_fake_false_negative_risk,2.5,Celeb-DF
data_image_train\Fake\Celeb-synthesis_id32_id34_0002.mp4_f1.jpg,1,0.4421585500240326,hard_fake_false_negative_risk,2.5,Celeb-DF
data_dfdc_test\bourlmzsio_f2.jpg,1,0.19355161488056183,hard_fake_false_negative_risk,2.5,DFDC
data_dfdc_test\dzieklokdr_f4.jpg,1,0.2080783247947693,hard_fake_false_negative_risk,2.5,DFDC
data_dfdc_test\avgiuextiz_f1.jpg,1,0.27847084403038025,hard_fake_false_negative_risk,2.5,DFDC
data_dfdc_test\dxuliowugt_f1.jpg,1,0.29386383295059204,hard_fake_false_negative_risk,2.5,DFDC
data_dfdc_test\etmcruaihe_f2.jpg,1,0.3585618734359741,hard_fake_false_negative_risk,2.5,DFDC
data_dfdc_test\bourlmzsio_f4.jpg,1,0.43390074372291565,hard_fake_false_negative_risk,2.5,DFDC
data_dfdc_test\emgjphonqb_f2.jpg,1,0.4820857346057892,hard_fake_false_negative_risk,2.5,DFDC
data_dfdc_test\dxuliowugt_f4.jpg,1,0.4837155044078827,hard_fake_false_negative_risk,2.5,DFDC
data_image_train\Fake\FF_fake_Face2Face_419_824_f0.jpg,1,0.053308822214603424,hard_fake_false_negative_risk,2.5,FaceForensics++
data_image_train\Fake\FF_fake_Face2Face_824_419_f1.jpg,1,0.07726849615573883,hard_fake_false_negative_risk,2.5,FaceForensics++
data_image_train\Fake\FF_fake_NeuralTextures_824_419_f1.jpg,1,0.08062119781970978,hard_fake_false_negative_risk,2.5,FaceForensics++
data_image_train\Fake\FF_fake_Face2Face_824_419_f3.jpg,1,0.08369725942611694,hard_fake_false_negative_risk,2.5,FaceForensics++
data_image_train\Fake\FF_fake_FaceSwap_604_703_f0.jpg,1,0.08465161919593811,hard_fake_false_negative_risk,2.5,FaceForensics++
data_image_train\Fake\FF_fake_NeuralTextures_880_135_f2.jpg,1,0.08817903697490692,hard_fake_false_negative_risk,2.5,FaceForensics++
data_image_train\Fake\FF_fake_NeuralTextures_824_419_f4.jpg,1,0.09601586312055588,hard_fake_false_negative_risk,2.5,FaceForensics++
data_image_train\Fake\FF_fake_NeuralTextures_824_419_f2.jpg,1,0.09674347192049026,hard_fake_false_negative_risk,2.5,FaceForensics++
data_image_train\Fake\FF_fake_FaceShifter_873_872_f2.jpg,1,0.10129256546497345,hard_fake_false_negative_risk,2.5,FaceForensics++
data_image_train\Fake\FF_fake_FaceShifter_451_449_f1.jpg,1,0.10421890765428543,hard_fake_false_negative_risk,2.5,FaceForensics++
data_image_train\Fake\FF_fake_Face2Face_824_419_f2.jpg,1,0.1066463366150856,hard_fake_false_negative_risk,2.5,FaceForensics++
data_image_train\Fake\FF_fake_Deepfakes_880_135_f3.jpg,1,0.10753211379051208,hard_fake_false_negative_risk,2.5,FaceForensics++
data_image_train\Fake\FF_fake_FaceSwap_880_135_f4.jpg,1,0.10834554582834244,hard_fake_false_negative_risk,2.5,FaceForensics++
data_image_train\Fake\FF_fake_Face2Face_880_135_f1.jpg,1,0.10869238525629044,hard_fake_false_negative_risk,2.5,FaceForensics++
data_image_train\Fake\FF_fake_NeuralTextures_770_791_f3.jpg,1,0.10904344916343689,hard_fake_false_negative_risk,2.5,FaceForensics++
data_image_train\Fake\FF_fake_FaceShifter_873_872_f1.jpg,1,0.12420457601547241,hard_fake_false_negative_risk,2.5,FaceForensics++
data_image_train\Fake\FF_fake_FaceSwap_281_474_f4.jpg,1,0.12535187602043152,hard_fake_false_negative_risk,2.5,FaceForensics++
data_image_train\Fake\FF_fake_NeuralTextures_893_913_f1.jpg,1,0.1286712884902954,hard_fake_false_negative_risk,2.5,FaceForensics++
data_image_train\Fake\FF_fake_NeuralTextures_235_194_f2.jpg,1,0.13015130162239075,hard_fake_false_negative_risk,2.5,FaceForensics++
data_image_train\Fake\FF_fake_NeuralTextures_038_125_f4.jpg,1,0.13039448857307434,hard_fake_false_negative_risk,2.5,FaceForensics++
data_image_train\Fake\FF_fake_FaceShifter_720_672_f3.jpg,1,0.13205066323280334,hard_fake_false_negative_risk,2.5,FaceForensics++
data_image_train\Fake\FF_fake_NeuralTextures_481_469_f1.jpg,1,0.132964089512825,hard_fake_false_negative_risk,2.5,FaceForensics++
data_image_train\Fake\FF_fake_NeuralTextures_702_612_f0.jpg,1,0.13443362712860107,hard_fake_false_negative_risk,2.5,FaceForensics++
data_image_train\Fake\FF_fake_FaceShifter_427_637_f1.jpg,1,0.13570331037044525,hard_fake_false_negative_risk,2.5,FaceForensics++
data_image_train\Fake\FF_fake_NeuralTextures_063_041_f1.jpg,1,0.13663245737552643,hard_fake_false_negative_risk,2.5,FaceForensics++
data_image_train\Fake\FF_fake_FaceShifter_673_728_f1.jpg,1,0.13718797266483307,hard_fake_false_negative_risk,2.5,FaceForensics++
data_image_train\Fake\FF_fake_NeuralTextures_039_058_f4.jpg,1,0.1380290687084198,hard_fake_false_negative_risk,2.5,FaceForensics++
data_image_train\Fake\FF_fake_Face2Face_099_295_f0.jpg,1,0.1409510374069214,hard_fake_false_negative_risk,2.5,FaceForensics++
data_image_train\Fake\FF_fake_NeuralTextures_824_419_f3.jpg,1,0.146051824092865,hard_fake_false_negative_risk,2.5,FaceForensics++
data_image_train\Fake\FF_fake_NeuralTextures_240_290_f2.jpg,1,0.14611686766147614,hard_fake_false_negative_risk,2.5,FaceForensics++
data_image_train\Fake\FF_fake_FaceSwap_880_135_f3.jpg,1,0.14632748067378998,hard_fake_false_negative_risk,2.5,FaceForensics++
data_image_train\Fake\FF_fake_NeuralTextures_756_503_f4.jpg,1,0.15019670128822327,hard_fake_false_negative_risk,2.5,FaceForensics++
data_image_train\Fake\FF_fake_FaceShifter_392_339_f4.jpg,1,0.150199756026268,hard_fake_false_negative_risk,2.5,FaceForensics++
data_image_train\Fake\FF_fake_NeuralTextures_538_493_f3.jpg,1,0.15106160938739777,hard_fake_false_negative_risk,2.5,FaceForensics++
data_image_train\Fake\FF_fake_NeuralTextures_538_493_f1.jpg,1,0.15216606855392456,hard_fake_false_negative_risk,2.5,FaceForensics++
